neighbourhood_group,neighbourhood
ALGIROS,CIUTAT JARDI
ALGIROS,LA CARRASCA
ALGIROS,L'AMISTAT
ALGIROS,LA VEGA BAIXA
ALGIROS,L'ILLA PERDUDA
BENICALAP,BENICALAP
BENICALAP,CIUTAT FALLERA
BENIMACLET,BENIMACLET
BENIMACLET,CAMI DE VERA
CAMINS AL GRAU,AIORA
CAMINS AL GRAU,ALBORS
CAMINS AL GRAU,CAMI FONDO
CAMINS AL GRAU,LA CREU DEL GRAU
CAMINS AL GRAU,PENYA-ROJA
CAMPANAR,CAMPANAR
CAMPANAR,EL CALVARI
CAMPANAR,LES TENDETES
CAMPANAR,SANT PAU
CIUTAT VELLA,EL CARME
CIUTAT VELLA,EL MERCAT
CIUTAT VELLA,EL PILAR
CIUTAT VELLA,LA SEU
CIUTAT VELLA,LA XEREA
CIUTAT VELLA,SANT FRANCESC
EL PLA DEL REAL,CIUTAT UNIVERSITARIA
EL PLA DEL REAL,EXPOSICIO
EL PLA DEL REAL,JAUME ROIG
EL PLA DEL REAL,MESTALLA
EXTRAMURS,ARRANCAPINS
EXTRAMURS,EL BOTANIC
EXTRAMURS,LA PETXINA
EXTRAMURS,LA ROQUETA
JESUS,CAMI REAL
JESUS,LA CREU COBERTA
JESUS,LA RAIOSA
JESUS,L'HORT DE SENABRE
JESUS,SANT MARCEL.LI
LA SAIDIA,MARXALENES
LA SAIDIA,MORVEDRE
LA SAIDIA,SANT ANTONI
LA SAIDIA,TORMOS
LA SAIDIA,TRINITAT
L'EIXAMPLE,EL PLA DEL REMEI
L'EIXAMPLE,LA GRAN VIA
L'EIXAMPLE,RUSSAFA
L'OLIVERETA,LA FONTSANTA
L'OLIVERETA,LA LLUM
L'OLIVERETA,NOU MOLES
L'OLIVERETA,SOTERNES
L'OLIVERETA,TRES FORQUES
PATRAIX,FAVARA
PATRAIX,PATRAIX
PATRAIX,SAFRANAR
PATRAIX,SANT ISIDRE
PATRAIX,VARA DE QUART
POBLATS DEL NORD,BENIFARAIG
POBLATS DEL NORD,BORBOTO
POBLATS DEL NORD,CARPESA
POBLATS DEL NORD,LES CASES DE BARCENA
POBLATS DEL NORD,MAHUELLA-TAULADELLA
POBLATS DEL NORD,MASSARROJOS
POBLATS DEL NORD,POBLE NOU
POBLATS DEL NORD,RAFALELL-VISTABELLA
POBLATS DE L'OEST,BENIFERRI
POBLATS DE L'OEST,BENIMAMET
POBLATS DEL SUD,CASTELLAR-L'OLIVERAL
POBLATS DEL SUD,EL FORN D'ALCEDO
POBLATS DEL SUD,EL PALMAR
POBLATS DEL SUD,EL PERELLONET
POBLATS DEL SUD,EL SALER
POBLATS DEL SUD,FAITANAR
POBLATS DEL SUD,LA TORRE
POBLATS DEL SUD,PINEDO
POBLATS MARITIMS,BETERO
POBLATS MARITIMS,CABANYAL-CANYAMELAR
POBLATS MARITIMS,EL GRAU
POBLATS MARITIMS,LA MALVA-ROSA
POBLATS MARITIMS,NATZARET
QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES
QUATRE CARRERES,EN CORTS
QUATRE CARRERES,LA FONTETA S.LLUIS
QUATRE CARRERES,LA PUNTA
QUATRE CARRERES,MALILLA
QUATRE CARRERES,MONT-OLIVET
QUATRE CARRERES,NA ROVELLA
RASCANYA,ELS ORRIOLS
RASCANYA,SANT LLORENS
RASCANYA,TORREFIEL
